
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
									1979-08-19T10:35:00.000	1	184	1	.423	1	293	1
									1979-08-19T10:50:00.000	1	184	1	.327	1	309	3
									1979-08-19T11:05:00.000	1	184	1	.176	1	267	1
									1979-08-19T11:20:00.000	1	184	1	.208	1	219	1
									1979-08-19T11:35:00.000	1	184	1	.164	1	219	1
									1979-08-19T11:50:00.000	1	184	1	.132	1	219	1
									1979-08-19T12:05:00.000	1	184	1	.188	1	217	1
									1979-08-19T12:20:00.000	1	184	1	.089	1	194	1
									1979-08-19T12:35:00.000	1	184	1	.097	1	17	3
									1979-08-19T12:50:00.000	1	184	1	.1	1	34	1
									1979-08-19T13:05:00.000	1	184	1	.054	1	188	1
									1979-08-19T13:20:00.000	1	184	1	.036	1	188	1
									1979-08-19T13:35:00.000	1	184	1	0	1	11	1
									1979-08-19T13:50:00.000	1	184	1	.025	1	14	1
									1979-08-19T14:05:00.000	1	184	1	0	1	84	1
									1979-08-19T14:20:00.000	1	184	1	0	1	326	1
									1979-08-19T14:35:00.000	1	184	1	.025	1	318	1
									1979-08-19T14:50:00.000	1	184	1	.025	1	307	3
									1979-08-19T15:05:00.000	1	184	1	.051	1	343	1
									1979-08-19T15:20:00.000	1	184	1	.1	1	343	1
									1979-08-19T15:35:00.000	1	184	1	.127	1	338	1
									1979-08-19T15:50:00.000	1	184	1	.164	1	309	1
									1979-08-19T16:05:00.000	1	184	1	.188	1	298	1
									1979-08-19T16:20:00.000	1	184	1	.205	1	295	1
									1979-08-19T16:35:00.000	1	184	1	.214	1	309	3
									1979-08-19T16:50:00.000	1	184	1	.225	1	298	1
									1979-08-19T17:05:00.000	1	184	1	.231	1	298	1
									1979-08-19T17:20:00.000	1	184	1	.234	1	290	1
									1979-08-19T17:35:00.000	1	184	1	.257	1	287	1
									1979-08-19T17:50:00.000	1	184	1	.275	1	127	1
									1979-08-19T18:05:00.000	1	184	1	.223	1	84	3
									1979-08-19T18:20:00.000	1	184	1	.228	1	188	1
									1979-08-19T18:35:00.000	1	184	1	.129	1	304	1
									1979-08-19T18:50:00.000	1	184	1	.211	1	301	1
									1979-08-19T19:05:00.000	1	184	1	.115	1	93	3
									1979-08-19T19:20:00.000	1	184	1	.237	1	278	3
									1979-08-19T19:35:00.000	1	184	1	.237	1	107	1
									1979-08-19T19:50:00.000	1	184	1	.301	1	104	1
